id,firstName,lastName,secondName,dateOfBirth,dateOfDeath,placeOfBirth,placeOfBirthName,placeOfDeath,placeOfDeathName,travel,burialPlace,burialDate,testament,actTestament,dateBaptism,religion,gender,stcn,orphanage,education,posUniversity,miscellaneous,profStart,profEnd,father,fatherName,mother,motherName
AW11,'Willem','Adam',NULL,NULL,NULL,'PLACE3','utrecht',NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,'M',NULL,NULL,NULL,NULL,NULL,'1635',NULL,'P28',NULL,'P29',NULL
AJ12,'Jacob','Adriaensz',NULL,'1554','1625','PLACE1','leiden',NULL,NULL,NULL,'begr. HK 5-5',NULL,NULL,NULL,NULL,NULL,'M','075537443',NULL,NULL,NULL,NULL,'1577','1622','P30',NULL,'P31',NULL
AJ13,'Jan','Adriaensz',NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,'M',NULL,NULL,NULL,NULL,NULL,'1575',NULL,'P35',NULL,'P36',NULL
AJS14,'Jan','Adriaensz','Sirlippus',NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,'M',NULL,NULL,NULL,NULL,NULL,'1627',NULL,'P37',NULL,'P38',NULL
AJ15,'Joucke','Adriaensz',NULL,NULL,NULL,'PLACE4','leeuwarden',NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,'M',NULL,NULL,NULL,NULL,NULL,'1609',NULL,'P39',NULL,'P40',NULL
AEE17,'Ewout','Aerschot','Evert Samuelsz van',NULL,NULL,'PLACE1','leiden',NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,'M',NULL,NULL,NULL,NULL,NULL,'1666','1671','P44','de vettewarier Samuel Andriesz van Aerschot','P45','Suzanna Beijers'
AJJ18,'Joost','Aersdael','Jansz',NULL,NULL,'PLACE5','gouda',NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,'M',NULL,NULL,NULL,NULL,NULL,'1661',NULL,'P47',NULL,'P48',NULL
AG19,'Gillis','Alenson',NULL,'1630','1682',NULL,NULL,NULL,NULL,NULL,'PK 10/17-10-1682',NULL,NULL,NULL,'1-4-1630',NULL,'M',NULL,NULL,NULL,NULL,NULL,'1653','1656','P50','Gillis Alenson','P51',NULL
AB20,'Benjamin','Allen',NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,'M',NULL,NULL,NULL,NULL,NULL,'1638',NULL,'P54',NULL,'P55',NULL
AH21,'Harman','Allerts',NULL,NULL,NULL,'PLACE6','amsterdam',NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,'M',NULL,NULL,NULL,NULL,NULL,'1601',NULL,'P56',NULL,'P57',NULL
AAV22,'Ary','Alphen','van',NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,'M',NULL,NULL,NULL,NULL,NULL,'1748',NULL,'P58',NULL,'P59',NULL
AEV23,'Eva','Alphen','van','1695','1695','PLACE1','leiden',NULL,NULL,NULL,'begr. PKJL 26-3-1695',NULL,NULL,NULL,NULL,NULL,'F',NULL,'Secl. J 297',NULL,NULL,NULL,'1661','1674','P60',NULL,'P61',NULL
AJV24,'Jan','Alste jr','van',NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,'M',NULL,NULL,NULL,NULL,NULL,'1754','1756','P63',NULL,'P64',NULL
AAI25,'Abraham','Ambrullaert','I','1663',NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,'M',NULL,NULL,NULL,NULL,NULL,'1682','1690','P65','Johannes Ambrullaert','P66',NULL
AAI26,'Abraham','Ambrullaert','II','1699','1775',NULL,NULL,NULL,NULL,NULL,'begr. PK tussen 21/28-1-1775',NULL,NULL,NULL,'22-9-1734',NULL,'M',NULL,NULL,NULL,NULL,NULL,'1723','1775','P68',NULL,'P69',NULL
AJJ27,'Johannes','Ambrullaert','Johannes','1636','1728','PLACE7','dordrecht',NULL,NULL,NULL,'begr. 24-5 buiten Leiden',NULL,NULL,NULL,'22-2-1657',NULL,'M',NULL,NULL,'28-2-1680 Jan Ambrullaert Dordracenus, famulus in typopgrapheio Academico. 44',NULL,NULL,'1655','1697','P71',NULL,'P72',NULL
AWV28,'Willem','Amstel','van',NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,'M',NULL,NULL,NULL,NULL,NULL,'1659','1667','P75',NULL,'P76',NULL
AW29,'Willem','Andries',NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,'M','075537788',NULL,NULL,NULL,NULL,'1606',NULL,'P77',NULL,'P78',NULL
AF30,'Frans','Andriesz',NULL,NULL,NULL,'PLACE8','delft',NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,'M',NULL,NULL,NULL,NULL,NULL,'1655',NULL,'P79',NULL,'P80',NULL
AN31,'Nicolaas','Anslijn',NULL,'1755','1801',NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,'12-11-1780',NULL,'M',NULL,NULL,NULL,NULL,NULL,'1776','1782','P82','onderwijzer Nikolaas Anslijn','P83',NULL
APA32,'Pieter','Anslijn','Anthony',NULL,NULL,'PLACE1','leiden',NULL,NULL,NULL,NULL,NULL,NULL,NULL,'18-5-1780',NULL,'M',NULL,NULL,NULL,NULL,NULL,'1778','1783','P85','Nicolaas Anslijn','P86',NULL
AA33,'Abraham','Anthonisz',NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,'M',NULL,NULL,NULL,NULL,NULL,'1614',NULL,'P88',NULL,'P89',NULL
AJ34,'Jan','Anthonisz',NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,'M',NULL,'Gr. Bew. C 472',NULL,NULL,NULL,'1664',NULL,'P90',NULL,'P91',NULL
ATV35,'Thomas','Arckel','van','1612',NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,'M',NULL,NULL,NULL,NULL,NULL,'1643',NULL,'P93',NULL,'P94',NULL
AG36,'Gerrit','Arentsz',NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,'M',NULL,NULL,NULL,NULL,NULL,'1621',NULL,'P95',NULL,'P96',NULL
AJ37,'Jan','Arents',NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,'M',NULL,NULL,NULL,NULL,NULL,'1627',NULL,'P97',NULL,'P98',NULL
AWJ38,'weduwe','Arents','Jacob',NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,'F',NULL,NULL,NULL,NULL,NULL,'1626',NULL,'P99',NULL,'P100',NULL
ACP39,'Carel','Arnoel','Pietersz',NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,'M',NULL,NULL,NULL,NULL,NULL,'1694',NULL,'P101','Pieter Carelsz Arnoel','P102',NULL
APC40,'Pieter','Arnoel','Carelsz',NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,'M',NULL,NULL,NULL,NULL,NULL,'1657','1670','P103',NULL,'P104','en Judith Frans'
AF41,'Franco','Aubertijn',NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,'M',NULL,NULL,NULL,NULL,NULL,'1656',NULL,'P106',NULL,'P107',NULL
B42,NULL,'Baecke',NULL,'1612',NULL,'PLACE1','leiden',NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,'M',NULL,NULL,NULL,NULL,NULL,'1635','1637','P108','Mathijs Baecke','P109','Josijntje van Doorn'
BJ43,'Jan','Baers',NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,'M',NULL,NULL,NULL,NULL,NULL,'1596',NULL,'P113',NULL,'P114',NULL
BP44,'Petronella','Baers',NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,'F',NULL,NULL,NULL,NULL,NULL,'1766',NULL,'P115',NULL,'P116',NULL
BRD45,'Rieuwert','Baert','Dircxz',NULL,NULL,'PLACE9','franeker',NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,'M',NULL,NULL,NULL,NULL,NULL,'1633',NULL,'P117',NULL,'P118',NULL
BW46,'Willem','Backer',NULL,NULL,NULL,'PLACE6','amsterdam',NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,'M',NULL,NULL,NULL,NULL,NULL,'1679',NULL,'P120',NULL,'P121',NULL
BCJ47,'Christoffel','Bailliu','Jansz',NULL,NULL,'PLACE10','antwerpen',NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,'M',NULL,NULL,NULL,NULL,NULL,'1604',NULL,'P123',NULL,'P124',NULL
BP48,'Pieter','Bailly',NULL,'1554','1604','PLACE10','antwerpen',NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,'M',NULL,NULL,NULL,NULL,NULL,'1577','1602','P126',NULL,'P127',NULL
BPJ49,'Pieter','Bailly','Jacobsz',NULL,NULL,'PLACE1','leiden',NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,'M',NULL,NULL,NULL,NULL,NULL,'1636',NULL,'P129',NULL,'P130',NULL
BPC50,'Pieter','Balen','Claesz van','1571',NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,'M',NULL,NULL,NULL,NULL,NULL,'1534','1539','P132',NULL,'P133',NULL
BC51,'Cornelis','Balji',NULL,NULL,NULL,'PLACE1','leiden',NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,'M',NULL,NULL,NULL,NULL,NULL,'1740',NULL,'P135',NULL,'P136',NULL
BCP52,'Cornelis','Banheyning','Pietersz van','1658',NULL,NULL,NULL,NULL,NULL,NULL,'begr. HK 29-4-1658',NULL,NULL,NULL,NULL,NULL,'M',NULL,'Voogdijboek G 140; 13e Pb. 801; 14e Pb. 380; Quitanties',NULL,NULL,NULL,'1643','1657','P138',NULL,'P139',NULL
BG53,'Gerard','Bardeloos',NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,'M',NULL,NULL,NULL,NULL,NULL,'1632',NULL,'P141',NULL,'P142',NULL
BJJ54,'Johannes','Baron','Jan Zachariasz','1624','1669','PLACE1','leiden',NULL,NULL,NULL,'begr. 2-2-1669',NULL,NULL,NULL,NULL,NULL,'M',NULL,NULL,NULL,NULL,NULL,'1650','1662','P144','Zacharias Jansz Baron','P145',NULL
BZJ55,'Zacharias','Baron','Jansz','1600',NULL,'PLACE1','leiden',NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,'M',NULL,NULL,NULL,NULL,NULL,'1620','1626','P148',NULL,'P149',NULL
BJ56,'Johannes','Bartholomeus',NULL,NULL,NULL,'PLACE9','franeker',NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,'M',NULL,NULL,NULL,NULL,NULL,'1782',NULL,'P151',NULL,'P152',NULL
BH57,'Hendrick','Bary',NULL,'1640','1707','PLACE5','gouda','PLACE5','gouda',NULL,NULL,NULL,NULL,NULL,NULL,NULL,'M',NULL,NULL,NULL,NULL,NULL,NULL,NULL,'P153',NULL,'P154',NULL
BG58,'Govert','Basson',NULL,'1630',NULL,'PLACE6','amsterdam',NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,'M',NULL,NULL,'6-2-1628 Godefridus Basson Leidensis. 46, Bibliopola',NULL,NULL,'1612','1630','P155',NULL,'P156',NULL
BT59,'Thomas','Basson',NULL,'1555','1614','PLACE11','somersham',NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,'M',NULL,NULL,'5-4-1595 Thomas Basson Anglus, typographus et',NULL,NULL,'1584','1612','P158',NULL,'P159',NULL
BP60,'Pieter','Bast',NULL,'1605',NULL,'PLACE10','antwerpen',NULL,NULL,NULL,'begraven PK 17-3-1605',NULL,NULL,NULL,NULL,NULL,'M',NULL,NULL,NULL,NULL,NULL,'1601','1605','P160','Jaques Bast','P161','Cijken Platijn'
BM61,'M','Bastiaensz',NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,'M',NULL,NULL,NULL,NULL,NULL,'1614','1616','P163',NULL,'P164',NULL
BF62,'Frans','Bastijn',NULL,NULL,'14-6-1654',NULL,NULL,'PLACE1','leiden',NULL,'begr. HK 17-6-1654',NULL,NULL,NULL,NULL,NULL,'M',NULL,'Voogdijboek C 75v, J 18v, K 116v; 15e Pb 279, 925; 16e Pb 136',NULL,NULL,NULL,'1636','1654','P165','Zacharias Bastijn','P166',NULL
BC63,'C','Baudin',NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,'M',NULL,NULL,NULL,NULL,NULL,'1570',NULL,'P169',NULL,'P170',NULL
BA64,'Abraham','Bax',NULL,NULL,NULL,'PLACE7','dordrecht',NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,'M',NULL,NULL,NULL,NULL,NULL,'1674',NULL,'P171',NULL,'P172','Maria Rutgers'
BW65,'Willem','Bayly',NULL,NULL,NULL,'PLACE12','engeland',NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,'M',NULL,'Kl. Bew. B 353v; Voogdijboek C 94v',NULL,NULL,NULL,'1613','1614','P174',NULL,'P175',NULL
BL66,'Lucas','Bazijk',NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,'M',NULL,'Secl. Z 286v',NULL,NULL,NULL,'1723','1731','P178','Gerrit Bazijk','P179',NULL
BJJ67,'Jacques','Beaufort','Joseph de',NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,'M',NULL,NULL,NULL,NULL,NULL,'1782','1792','P181',NULL,'P182',NULL
BID68,'Isaac','Beauvois','de','1623',NULL,'PLACE1','leiden',NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,'M',NULL,NULL,NULL,NULL,NULL,'1642','1658','P183','Jacob Beauvois','P184',NULL
BJJ69,'Jan','Bebberen','Jansz van',NULL,NULL,'PLACE1','leiden',NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,'M',NULL,NULL,NULL,NULL,NULL,'1639','1645','P186',NULL,'P187',NULL
BHH70,'Hendrick','Beckbergen','Harmensz',NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,'M',NULL,NULL,NULL,NULL,NULL,'1654','1663','P189',NULL,'P190',NULL
BJ71,'Jurjen','Becker',NULL,NULL,NULL,'PLACE13','groningen',NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,'M',NULL,NULL,NULL,NULL,NULL,'1613',NULL,'P192',NULL,'P193',NULL
BJ72,'Jacobus','Beecke',NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,'M',NULL,'Voogdijboek B 1611v, D 55v, F 240. Op 7-4-1634 woonde de',NULL,NULL,NULL,'1627','1637','P194',NULL,'P195','Niesje Cornelis van Duijck'
BID73,'Isaac','Beer','de',NULL,NULL,'PLACE14','ieper',NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,'M',NULL,NULL,NULL,NULL,NULL,'1619','1621','P197',NULL,'P198',NULL
BJV74,'J','Bems','van',NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,'M',NULL,NULL,NULL,NULL,NULL,'1665',NULL,'P200',NULL,'P201',NULL
BAV75,'Abraham','Benthem','van',NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,'M',NULL,NULL,NULL,NULL,NULL,'1809',NULL,'P202',NULL,'P203',NULL
BWG76,'Willem','Berbe','Govertsz de la',NULL,NULL,'PLACE15','middelburg',NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,'M',NULL,NULL,NULL,NULL,NULL,'1612',NULL,'P205',NULL,'P206',NULL
BC77,'Casper','Bercau',NULL,NULL,NULL,'PLACE16','hamelen',NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,'M',NULL,NULL,NULL,NULL,NULL,'1603','1611','P208',NULL,'P209',NULL
BP78,'Pieter','Berg',NULL,NULL,NULL,'PLACE6','amsterdam',NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,'M',NULL,NULL,NULL,NULL,NULL,'1792',NULL,'P211',NULL,'P212',NULL
BJV79,'Jacobus','Berg','van den',NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,'M',NULL,NULL,NULL,NULL,NULL,'1798',NULL,'P214',NULL,'P215',NULL
BHV80,'Huybert','Bergh','van den',NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,'M',NULL,'Secl. L 99, F 160 Tabaksverkoper. Vgl. ook de verkoper van',NULL,NULL,NULL,'1672','1690','P216',NULL,'P217',NULL
BJI81,'Johannes','Bergh','I van den','25-9-1687',NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,'M',NULL,NULL,NULL,NULL,NULL,'1686',NULL,'P220',NULL,'P221',NULL
BJI82,'Johannes','Bergh','II van den',NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,'M',NULL,NULL,NULL,NULL,NULL,'1703',NULL,'P223',NULL,'P224',NULL
BJ83,'Jan','Bergier',NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,'M',NULL,NULL,NULL,NULL,NULL,'1769',NULL,'P226',NULL,'P227',NULL
BJL84,'Jacobus','Beuf','le',NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,'M',NULL,NULL,NULL,NULL,NULL,NULL,NULL,'P228',NULL,'P229',NULL
BG85,'Gheleyn','Beunghe',NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,'M',NULL,NULL,NULL,NULL,NULL,'1651',NULL,'P230',NULL,'P231',NULL
BJD86,'Jacob','Beunje','de','1712','4-3-1765','PLACE1','leiden',NULL,NULL,NULL,NULL,NULL,NULL,NULL,'HK 27-11-1712',NULL,'M',NULL,NULL,NULL,NULL,NULL,'1737','1762','P232','Johannes de Beunje','P233',NULL
BLA87,'Leendert','Beunje','Adryaensz de',NULL,NULL,'PLACE1','leiden',NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,'M',NULL,NULL,NULL,NULL,NULL,'1654',NULL,'P236',NULL,'P237',NULL
BJF88,'Johannes','Beyert','Fransz',NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,'M',NULL,NULL,NULL,NULL,NULL,'1662',NULL,'P239',NULL,'P240',NULL
BPA89,'Pauwel','Beyman','Adriaensz I',NULL,'1622','PLACE8','delft','PLACE1','leiden',NULL,NULL,NULL,NULL,NULL,NULL,NULL,'M',NULL,NULL,NULL,NULL,NULL,'1585',NULL,'P242',NULL,'P243',NULL
BCC90,'Claes','Biestkens','Claesz',NULL,NULL,'PLACE6','amsterdam',NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,'M',NULL,NULL,NULL,NULL,NULL,'1596',NULL,'P245',NULL,'P246',NULL
BA91,'Anna','Bijl',NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,'F',NULL,NULL,NULL,NULL,NULL,'1687',NULL,'P248',NULL,'P249',NULL
BJV92,'Johannes','Bilderbeek','van','1651',NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,'M',NULL,NULL,NULL,NULL,NULL,'1684','1700','P250',NULL,'P251','Jannetje Staverinus'
VB93,'Bartholomeus','van der Bildt',NULL,'1593',NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,'M',NULL,NULL,NULL,NULL,NULL,'1619','1628','P255',NULL,'P256',NULL
BJV94,'Johannes','Binnevest','van',NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,'M',NULL,NULL,NULL,NULL,NULL,'1694','1695','P257',NULL,'P258',NULL
BPL95,'Pierre','Blanc','le',NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,'M',NULL,NULL,NULL,NULL,NULL,'1625',NULL,'P260',NULL,'P261','Jeanne de Vos'
BJW96,'Jan','Blauwbeeck','Willems',NULL,NULL,'PLACE6','amsterdam',NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,'M',NULL,NULL,NULL,NULL,NULL,'1701','1703','P263',NULL,'P264',NULL
BBD97,'Bartholomaeus','Blé','du',NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,'M',NULL,NULL,NULL,NULL,NULL,'1737',NULL,'P267',NULL,'P268',NULL
BFV98,'Frans','Bleyswyck','van','1680',NULL,'PLACE1','leiden',NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,'M',NULL,NULL,'2-10-1705 Franciscus Bleiswijck Lugduno-Batavus',NULL,NULL,'1705',NULL,'P269','Pieter Bleyswijck','P270',NULL
BR99,'Reynier','Blockhuysen',NULL,NULL,NULL,'PLACE6','amsterdam',NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,'M',NULL,NULL,NULL,NULL,NULL,'1709','1724','P272',NULL,'P273',NULL
BF100,'Frans en Pieter','Blommendael',NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,'M',NULL,NULL,NULL,NULL,NULL,'1668',NULL,'P275',NULL,'P276',NULL
BAJ101,'Abraham','Bluss','jr','8-10-1772','3-12-1850','PLACE7','dordrecht','PLACE1','leiden',NULL,NULL,NULL,NULL,NULL,NULL,NULL,'M',NULL,NULL,NULL,NULL,NULL,'1798','1804','P277','Abraham Bluss sr ','P278',NULL
BH102,'Hendrik','Bodoverden',NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,'M','075539446',NULL,NULL,NULL,NULL,'1603',NULL,'P280',NULL,'P281',NULL
BJ103,'Jacob','Boels',NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,'M',NULL,NULL,NULL,NULL,NULL,'1631','1649','P282',NULL,'P283',NULL
BA104,'Andries','Boesche',NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,'M',NULL,NULL,NULL,NULL,NULL,'1779',NULL,'P284',NULL,'P285',NULL
BPD105,'Pieter','Boeteman','Dircksz',NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,'M',NULL,NULL,NULL,NULL,NULL,NULL,NULL,'P286',NULL,'P287',NULL
BLV106,'Leendert','Bogaert','van den',NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,'M',NULL,NULL,NULL,NULL,NULL,'1774',NULL,'P289',NULL,'P290',NULL
BC107,'Cornelis','Boissens',NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,'M','075539586',NULL,NULL,NULL,NULL,'1617','1635','P291',NULL,'P292',NULL
BD108,'Daniel','Bols',NULL,'1756',NULL,'PLACE1','leiden',NULL,NULL,NULL,NULL,NULL,NULL,NULL,'9-5-1756','Waals','M','303058773',NULL,NULL,NULL,NULL,'1774','1803','P294','Steven Bols','P295','Johanna Deetrie'
BDM109,'Dirck','Bom','Mathijsz van',NULL,NULL,'PLACE17','arnhem',NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,'M',NULL,NULL,NULL,NULL,NULL,'1658','1662','P297',NULL,'P298',NULL
